reservoir_name,observation_time,upstream_level,normal_level,dead_level,inflow,total_discharge,spillway_discharge,powerhouse_discharge,deep_gates,surface_gates
Tuyên Quang,2026-05-08T13:00:00,110.21,120.0,90.0,50.0,129.87,0.0,129.87,0,0
Lai Châu,2026-05-08T14:00:00,293.74,295.0,265.0,94.0,500.0,0.0,500.0,0,0
Bản Chát,2026-05-08T13:00:00,434.76,475.0,431.0,33.0,0.0,0.0,0.0,0,0
Huội Quảng,2026-05-08T15:00:00,369.41,370.0,368.0,37.0,236.0,0.0,236.0,0,0
Sơn La,2026-05-08T14:00:00,204.12,215.0,175.0,1254.0,2087.0,0.0,2087.0,0,0
Hòa Bình,2026-05-08T14:00:00,107.35,117.0,80.0,1616.0,1609.0,0.0,1609.0,0,0
Thác Bà,2026-05-08T15:00:00,51.65,58.0,46.0,148.0,144.04,0.0,144.04,0,0
Trung Sơn,2026-05-08T14:00:00,156.24,160.0,150.0,175.0,175.0,0.0,175.0,0,0
Bản Vẽ,2026-05-08T13:00:00,184.1,200.0,155.0,76.0,0.0,0.0,0.0,0,0
KHE BỐ,2026-05-08T14:00:00,64.37,65.0,63.0,68.0,210.9,0.0,210.9,0,0
Quảng Trị,2026-05-08T14:00:00,470.74,480.0,450.0,2.0,0.0,0.0,0.0,0,0
A Vương,2026-05-08T13:00:00,367.69,380.0,340.0,6.49,27.5,0.0,27.5,0,0
Sông Bung 2,2026-05-08T15:00:00,596.93,605.0,565.0,3.33,0.0,0.0,0.0,0,0
Vĩnh Sơn A,2026-05-08T13:00:00,770.3,775.0,765.0,0.4,10.21,0.0,10.21,0,0
Sông Bung 4,2026-05-08T14:00:00,216.17,222.5,205.0,1.78,42.0,0.0,42.0,0,0
Vĩnh Sơn B,2026-05-08T13:00:00,821.0,826.0,813.6,0.13,0.0,0.0,,0,0
Vĩnh Sơn C,2026-05-08T13:00:00,975.02,981.0,971.3,0.01,0.0,0.0,,0,0
Sông Tranh 2,2026-05-08T14:00:00,168.73,175.0,140.0,56.82,0.0,0.0,0.0,0,0
Sông Ba Hạ,2026-05-08T14:00:00,103.25,105.0,101.0,39.0,0.0,0.0,0.0,0,0
Sông Hinh,2026-05-08T13:00:00,205.79,209.0,196.0,15.22,15.22,0.0,15.22,0,0
Thượng Kon Tum,2026-05-08T13:00:00,1149.9,1160.0,1138.0,12.39,0.0,0.0,0.0,0,0
Pleikrông,2026-05-08T13:00:00,558.83,570.0,537.0,28.0,122.0,0.0,122.0,0,0
Ialy,2026-05-08T13:00:00,501.76,515.0,490.0,184.0,0.0,0.0,0.0,0,0
Sê San 3,2026-05-08T13:00:00,303.82,304.5,303.2,2.0,0.0,0.0,0.0,0,0
Sê San 3A,2026-05-08T13:00:00,238.9,239.0,238.5,0.0,0.0,0.0,0.0,0,0
Sê San 4,2026-05-08T13:00:00,212.7,215.0,210.0,13.0,0.0,0.0,0.0,0,0
Kanak,2026-05-08T13:00:00,508.35,515.0,485.0,4.38,0.0,0.0,0.0,0,0
An Khê,2026-05-08T11:00:00,428.68,429.0,427.0,33.96,8.0,8.0,0.0,0,1
Srêpốk 3,2026-05-08T14:00:00,268.12,272.0,268.0,5.0,0.78,0.78,0.0,2,0
Buôn Kuốp,2026-05-08T14:00:00,411.42,412.0,409.0,106.0,59.84,15.84,44.0,1,0
Buôn Tua Srah,2026-05-08T14:00:00,475.99,487.5,465.0,7.0,0.0,0.0,0.0,0,0
Đồng Nai 3,2026-05-08T14:00:00,578.28,590.0,570.0,3.89,0.0,0.0,0.0,0,0
Đồng Nai 4,2026-05-08T14:00:00,475.63,476.0,474.0,2.53,0.0,0.0,0.0,0,0
Đơn Dương,2026-05-08T14:00:00,1030.31,1042.0,1018.0,0.5,0.0,0.0,0.0,0,2
Đại Ninh,2026-05-08T14:00:00,871.3,880.0,860.0,5.0,4.0,0.0,4.0,0,0
Hàm Thuận,2026-05-08T14:00:00,589.52,605.0,575.0,1.22,10.49,0.0,10.49,0,0
Đa Mi,2026-05-08T14:00:00,324.06,325.0,323.0,18.03,11.43,0.0,11.43,0,0
Trị An,2026-05-08T13:00:00,57.67,62.0,50.0,150.0,0.0,0.0,0.0,0,0
