reservoir_name,observation_time,upstream_level,normal_level,dead_level,inflow,total_discharge,spillway_discharge,powerhouse_discharge,deep_gates,surface_gates
Tuyên Quang,2026-05-08T17:00:00,110.19,120.0,90.0,50.0,129.89,0.0,129.89,0,0
Lai Châu,2026-05-08T20:00:00,293.63,295.0,265.0,314.0,0.0,0.0,0.0,0,0
Bản Chát,2026-05-08T21:00:00,434.81,475.0,431.0,33.0,0.0,0.0,0.0,0,0
Huội Quảng,2026-05-08T19:00:00,369.51,370.0,368.0,62.0,0.0,0.0,0.0,0,0
Sơn La,2026-05-08T20:00:00,204.09,215.0,175.0,683.0,683.0,0.0,683.0,0,0
Hòa Bình,2026-05-08T20:00:00,107.24,117.0,80.0,1912.0,2430.0,0.0,2430.0,0,0
Thác Bà,2026-05-08T20:00:00,51.64,58.0,46.0,118.0,142.95,0.0,142.95,0,0
Trung Sơn,2026-05-08T20:00:00,155.59,160.0,150.0,104.0,438.0,0.0,438.0,0,0
Bản Vẽ,2026-05-08T19:00:00,184.07,200.0,155.0,212.0,340.0,0.0,340.0,0,0
KHE BỐ,2026-05-08T20:00:00,64.25,65.0,63.0,426.7,236.3,0.0,236.3,0,0
Quảng Trị,2026-05-08T21:00:00,470.68,480.0,450.0,2.0,18.0,0.0,18.0,0,0
A Vương,2026-05-08T19:00:00,367.62,380.0,340.0,36.99,58.0,0.0,58.0,0,0
Sông Bung 2,2026-05-08T21:00:00,596.7,605.0,565.0,4.06,34.0,0.0,34.0,0,0
Vĩnh Sơn A,2026-05-08T23:00:00,770.29,775.0,765.0,0.1,10.21,0.0,10.21,0,0
Sông Bung 4,2026-05-08T20:00:00,216.15,222.5,205.0,49.0,49.0,0.0,49.0,0,0
Vĩnh Sơn B,2026-05-08T23:00:00,820.98,826.0,813.6,0.47,0.0,0.0,,0,0
Vĩnh Sơn C,2026-05-08T23:00:00,974.98,981.0,971.3,0.22,0.0,0.0,,0,0
Sông Tranh 2,2026-05-08T20:00:00,168.63,175.0,140.0,8.48,105.0,0.0,105.0,0,0
Sông Ba Hạ,2026-05-08T20:00:00,103.24,105.0,101.0,52.0,0.0,0.0,0.0,0,0
Sông Hinh,2026-05-08T19:00:00,205.78,209.0,196.0,26.64,26.64,0.0,26.64,0,0
Thượng Kon Tum,2026-05-08T19:00:00,1149.85,1160.0,1138.0,12.94,26.55,0.0,26.55,0,0
Pleikrông,2026-05-08T19:00:00,558.77,570.0,537.0,28.0,122.0,0.0,122.0,0,0
Ialy,2026-05-08T19:00:00,501.8,515.0,490.0,170.0,207.0,0.0,207.0,0,0
Sê San 3,2026-05-08T19:00:00,303.3,304.5,303.2,209.0,210.0,0.0,210.0,0,0
Sê San 3A,2026-05-08T19:00:00,238.76,239.0,238.5,250.0,531.0,0.0,531.0,0,0
Sê San 4,2026-05-08T19:00:00,212.73,215.0,210.0,454.0,160.0,0.0,160.0,0,0
Kanak,2026-05-08T20:00:00,508.31,515.0,485.0,4.15,30.0,0.0,30.0,0,0
An Khê,2026-05-08T19:00:00,428.49,429.0,427.0,4.27,53.0,8.0,45.0,0,1
Srêpốk 3,2026-05-08T20:00:00,268.06,272.0,268.0,314.0,280.78,0.78,280.0,2,0
Buôn Kuốp,2026-05-08T20:00:00,411.17,412.0,409.0,61.0,131.74,15.74,116.0,1,0
Buôn Tua Srah,2026-05-08T20:00:00,475.93,487.5,465.0,56.0,98.0,0.0,98.0,0,0
Đồng Nai 3,2026-05-08T20:00:00,578.19,590.0,570.0,7.56,194.48,0.0,194.48,0,0
Đồng Nai 4,2026-05-08T20:00:00,475.62,476.0,474.0,181.15,201.54,0.0,201.54,0,0
Đơn Dương,2026-05-08T20:00:00,1030.16,1042.0,1018.0,0.0,24.3,0.0,24.3,0,2
Đại Ninh,2026-05-08T20:00:00,871.23,880.0,860.0,0.01,48.0,0.0,48.0,0,0
Hàm Thuận,2026-05-08T20:00:00,589.4,605.0,575.0,25.74,118.18,0.0,118.18,0,0
Đa Mi,2026-05-08T20:00:00,324.09,325.0,323.0,118.58,103.71,0.0,103.71,0,0
Trị An,2026-05-08T19:00:00,57.65,62.0,50.0,140.0,589.0,0.0,589.0,0,0
